"","id","publish","title","viewCount","likeCount","dislikeCount","commentCount"
"1","mvN055oCEw4","2015-11-27T08:00:00.000Z","HIKAKIN Å~ ÉGÉNÅJÉXÉtÅKÉçÅ[ÉVÅJÉáÉì ñ{î\éõÇÃïœ @YouTube FanFest 2015",5307941,30942,2079,2622
"2","aqtx9sbhKbA","2015-09-01T10:00:03.000Z","HIKAKIN Beatbox 2015 ver.",2799564,33209,1489,4007
"3","dtoAGrzCh3g","2014-12-29T10:00:04.000Z","HIKAKIN BEATBOX Å~ HIFANA",1702773,15648,4602,1558
"4","YN_sPDBsN6s","2014-12-16T10:00:02.000Z","NE-YO Å~ HIKAKIN BEATBOX - Coming With You & Because Of You",2855547,32524,1094,1734
"5","rsGDskuGLx4","2014-12-05T10:00:01.000Z","Ariana Grande - Break Free ft. HIKAKIN",5427216,77720,1562,3780
"6","PIdCt6005sw","2014-10-25T10:00:12.000Z","HIKAKIN Beatbox Live - YouTube FanFest Japan 2014",2770460,27771,1118,2147
"7","ow9QW8vot2M","2014-06-27T10:00:01.000Z","Let It Go Beatbox Cover (from ""Frozen"") ÉAÉiÇ∆ê·ÇÃèóâ§ ÉåÉbÉgÉCÉbÉgÉSÅ[",12670775,104453,4092,4544
"8","MbplpcAGSZ8","2014-02-07T10:00:00.000Z","Ariana Grande Baby I feat. HIKAKIN",8545400,101168,2004,5196
"9","pwsTaJN_-Xo","2013-09-16T10:00:05.000Z","å˚ÇæÇØÇ≈èóÅXÇµÇ≠ÇƒÇ‚Ç¡ÇƒÇ›ÇΩÅIGolden Bomber Memeshikute BeatboxÅI",7552712,54873,3341,5282
"10","cqqZdmatIlQ","2013-08-15T05:00:38.000Z","Hikakin Å~ Aerosmith Live AgainÅI8/16 in OsakaÅI",546956,4006,228,399
"11","Z4V857N1oWs","2013-06-29T07:42:50.000Z","HIKAKIN Å~ Dub FX - BEATBOX",1471233,22856,425,1819
