"","id","publish","title","viewCount","likeCount","dislikeCount","commentCount"
"1","n6jABUkfZG8","2017-09-14T10:54:16.000Z","【スフ゜ラトゥーン２】マクドナルドフェス！ポテト vs ナゲットで暴走www【ヒカキンゲームズ】",42417,4409,305,1964
"2","8yBtvrTYjlc","2017-09-10T10:00:36.000Z","【ゼルダの伝説】歩行型ガーディアン倒すまで帰れまてん！ヒカキンのゼルダの伝説ブレスオブザワイルド実況 Part16",880384,7066,786,2546
"3","ADX3wyj7k4I","2017-09-09T12:00:28.000Z","超神引きで大暴走wwwデスノートコラボガチャ！【ヒカキンゲームズ】【逆転オセロニア】",1174919,8664,1206,2548
"4","B9443sdFqNo","2017-09-08T11:35:03.000Z","【元祖青鬼】謎の男編 Part3 最終回【ヒカキンゲームズ】",1231197,9356,730,1955
"5","jbYCrzHhZZE","2017-09-03T10:21:42.000Z","【元祖青鬼】謎の男編 Part2【ヒカキンゲームズ】",1178155,9302,586,2131
"6","SKIn0d0Bpi8","2017-09-02T09:50:39.000Z","超神引き!? からの超ミラクル!?テンションブチ上げw【ヒカキンゲームズ】【逆転オセロニア】",961503,7142,708,1855
"7","cnlofRflfYo","2017-08-25T10:02:07.000Z","【元祖青鬼】謎の男編 Part1【ヒカキンゲームズ】",2266162,14200,1255,2997
"8","bKJoamrV9Jo","2017-08-17T10:22:20.000Z","ヒカキンケ゛ームス゛4周年！そして今後のこと",814948,20520,620,5305
"9","jVnH-SfuXc4","2017-08-18T09:00:03.000Z","ヒカキンて゛曲作ってみた",1790608,25184,1130,4001
"10","-HYWFD1MUBM","2017-08-06T10:38:30.000Z","【スフ゜ラトゥーン２】初フェスにてブチギレ大発狂…マヨネース゛ vs ケチャッフ゜！【ヒカキンゲームズ】",1823509,12518,1115,5340
"11","JxzpyJjNJCo","2017-08-01T09:30:15.000Z","太鼓の達人でフルコンボするまで帰れませんwww【YouTubeテーマソングコラボ】",2015931,14631,1384,3961
