"","id","publish","title","viewCount","likeCount","dislikeCount","commentCount"
"1","I7hOeTJklQc","2017-09-14T10:22:25.000Z","お風呂で巨大コ゛キフ゛リとバトルwww",211451,22408,1093,13126
"2","gGRmCO93ABg","2017-09-12T10:27:54.000Z","ヒカキン、斎藤さんテ゛ヒ゛ューしたら全然信じてもらえずwww",2166377,51018,1482,8853
"3","CqgmWIg_xGs","2017-09-09T12:35:32.000Z","YouTubeから謎のダンボール箱か゛届いた。。。",2233422,42157,1846,3412
"4","x699P3neEUk","2017-09-08T10:50:50.000Z","iPhoneでヒゲがそれるだと！？指毛そってみたwww",1039794,17318,643,2157
"5","htJ8OFFM4Ts","2017-09-05T11:47:32.000Z","YouTuberのお金事情を暴露!?",2502891,43976,2448,7683
"6","jcIsQZvCil8","2017-09-04T12:26:56.000Z","虫とりに行ったら超奇跡的なことか゛起きた！",2034271,34767,1313,7785
"7","k1AHaW3Ir6I","2017-09-02T12:10:53.000Z","ヒカキン握手会で大暴走www【名古屋】",3519451,77078,3481,16815
"8","6igLEEJ44_8","2017-08-31T11:35:43.000Z","【500発】自分て゛花火大会開催したらヤバすぎた！",2555779,86907,2501,13770
"9","4mJbbW--qcs","2017-08-30T11:42:04.000Z","夏の終わりに生配信！",832976,37714,961,1814
"10","kcR8XCnmi3Y","2017-08-30T11:47:38.000Z","上場セレモニーで鐘おもいっきり叩いてみたw 【UUUM】",952109,27658,1060,3656
"11","IsVeadX1MI0","2017-08-28T09:21:20.000Z","【悲報】ヒカキン、通帳を見てヨタ゛レを垂らす…",3588505,51933,4409,8229
"12","FQNjcsAoOio","2017-08-27T12:37:27.000Z","ヒカキンTV登録者500万人突破を秋葉原で祝ってもらったw",1236675,53058,1200,9449
"13","uLdvU-zRi8A","2017-08-25T12:18:26.000Z","ほ゛くたち、休みます",4195044,81955,5487,20919
"14","V37CfQOghV8","2017-08-23T12:36:18.000Z","はじめしゃちょー×ヒカキン×シルクで虫入りチョコジャンケンバトルwww",3394644,52789,2757,16020
"15","IEuNA6ShyxI","2017-08-22T11:45:56.000Z","【難易度世界一!?】ありえないルーヒ゛ックキューフ゛を手にいれたwww",1889171,20896,1230,4026
"16","eIlx6qzwMWo","2017-08-21T11:45:53.000Z","【1等は高級料理!?】1回500円のガチャでメシが決まる「ガチャめし」やりに兵庫へ！",2686360,39556,1994,8680
"17","pL0tiDbX9n4","2017-08-20T11:30:27.000Z","【PHSコラホ゛】虫食いシ゛ャンケンハ゛トルやったらカ゛チて゛やは゛いことに…【閲覧注意】",3241417,52721,2255,7685
"18","siDKW2mI8-Y","2017-08-18T10:00:04.000Z","【悲報】昨日の動画にコ゛キフ゛リ映ってんた゛けと゛…【閲覧注意】",3947544,43343,2265,11455
"19","o8mC7MHgsmM","2017-08-17T12:56:38.000Z","【恋愛】YouTuberで最もモテる男マホトのモテ講座！デート必勝法！【告白】",2161640,39067,1408,10253
"20","C5I9z-bbAto","2017-08-16T11:40:12.000Z","即完売のスプラトゥーン2 nanacoフィギュアがｷﾀ━(ﾟ∀ﾟ)━！ヒカキンnanacoデビュー!",1210838,16405,917,4024
"21","mCdd3JeV8UE","2017-08-15T10:00:04.000Z","ヒカキンから重大発表があります",3186355,49172,5393,13236
"22","kVrJh1-eqIE","2017-08-14T11:24:35.000Z","【PHSコラボ】30万のドンペリでメントスコーラやったらパリピすぎたw【ヒカキン×マホト×PDS】",3258468,44457,5377,7666
"23","E6ZnK8jmoas","2017-08-12T12:06:03.000Z","【PHSコラボ】５年ふ゛りにシナモン食へ゛たらまさかの事態に…【ヒカキン×マホト×PDS】",4772826,88338,2832,14167
"24","2uzE5nhO-tA","2017-08-12T09:30:52.000Z","【当選発表】ニンテンドースイッチ スプラトゥーン2セット10名様【プレゼント企画】",1475580,48454,11932,16552
"25","fzTmLEePXks","2017-08-11T10:32:20.000Z","1本300万円のワインと3万円のワインを当てられるか！フィッシャーズ×ヒカキン！YouTuber格付けバトル！",3451065,44793,3881,11005
"26","ydE_tp5142w","2017-08-10T10:00:32.000Z","1万円でクレーンゲーム100回やったら何個取れんの？",6187858,50001,7238,12343
"27","j8CZ8Z6g7Eo","2017-08-09T10:00:31.000Z","【閲覧注意】また超巨大ゴキブリが出現！壮絶バトル！",3528687,45001,4325,21869
"28","fshUpXgufnk","2017-08-08T11:10:38.000Z","ヒカキン×マホト×PDSでやって欲しいことある？リクエスト募集！",1371789,40456,1240,4050
"29","cmuJiTZVJMU","2017-08-08T09:06:31.000Z","ヒカキン、明石家さんまさんに会う！ホンマて゛っか!?TV出るよ！8月9日(水)21時から！",1077151,18250,646,4740
"30","DwdB5dn-HQQ","2017-08-07T11:23:25.000Z","ト゛ラクエ11ク゛ッス゛大人買いしてみた！【PS4、2DS LL、コントローラー】",1376953,20142,1931,5469
"31","bxpsiCS2YKM","2017-08-06T12:13:19.000Z","ヒカキン、握手会で暴走www",2136462,44104,1483,9754
"32","IRgd0VI3msc","2017-08-05T10:00:31.000Z","半年待ちの超人気商品がついに届いた！！！",3784536,34021,3920,5342
