"","id","publish","title","viewCount","likeCount","dislikeCount","commentCount"
"1","NaeaXtfIejA","2017-09-13T10:22:52.000Z","名古屋で握手会やったら何かと強者が多すぎたwww",424373,6610,302,1438
"2","bcQaN2i8jrY","2017-09-12T09:47:32.000Z","え！これ全部ローソクかよ！？",640090,6411,463,1442
"3","9kEC_YEZTiA","2017-09-08T09:00:01.000Z","業務用マシンて゛お菓子作ったらフ゜ロ級の仕上か゛りになりました（笑）",1502744,15593,1446,1440
"4","feApaqUsQws","2017-09-07T09:45:21.000Z","ポンちゃんに3万円渡したら大量のパングッズ買ってきましたwww",1181556,13251,1024,1153
"5","IffccmUBKIU","2017-09-04T10:35:33.000Z","ハント゛スヒ゜ナー合体パーツを入手したので限界の高さまで合体させます！",930402,6033,924,684
"6","WJ9cmBGJ4Lw","2017-09-03T09:00:02.000Z","世界最小？のごみ箱たち",799717,6624,419,627
"7","KyTFCGyK5nE","2017-09-02T09:00:03.000Z","チョコエック゛ ト゛ラえもん100個買えばシークレット当たるはず！",1190569,9128,841,1031
"8","ziITTY7gmDU","2017-08-31T09:00:04.000Z","超ミニサイズのトイレットペーパーが当たるガチャがあるだと！？",1305677,9138,709,832
"9","LxynNm3Xi4k","2017-08-30T09:30:18.000Z","オトナなので買ってみました。",1195389,10249,943,971
"10","g3DgYS61-lg","2017-08-29T10:15:07.000Z","変わった文房具興味ある人集まれ。",1162003,11738,735,1063
"11","VecqzdQaZkc","2017-08-28T09:00:01.000Z","氷に色をつけて超ミニサイズのかき氷作ります。",1321800,8896,962,791
"12","N9WWnDWOwbA","2017-08-27T09:00:02.000Z","17,000円の超巨大けん玉で大技キメるまで終われません。",561977,5192,361,581
"13","o8EgRQJP_XI","2017-08-26T09:00:05.000Z","業務用の揚け゛物マシン買ったんだけどガチで実力ありすぎwww",2660093,23901,3586,3777
"14","DrP4ByvIkqs","2017-08-25T10:00:03.000Z","【ヒカキン VS セイキン】大観衆の中でレゴ組み立てバトルした結果",509629,3593,262,264
"15","AU7D_jhcAEc","2017-08-24T09:00:01.000Z","これ全部「紙」で作った自販機です。",706118,6373,465,655
"16","NsAiLWg89Og","2017-08-22T11:16:59.000Z","20年ぶりにミニ四駆作って走らせたら速すぎて見えませんwww",809077,7141,533,1473
"17","Uhx-7j-xhn8","2017-08-20T10:56:14.000Z","禁煙できる自販機、見つけました！",1526574,12103,1247,1342
"18","laSWsbtkv30","2017-08-17T11:30:28.000Z","超ミニ冷蔵庫で氷は作れるのか？",1676103,12335,1397,1088
"19","Pd7NCh5Ww0c","2017-08-18T09:59:42.000Z","ヒカキンが3年ぶりに東京で車運転したらヤバかったwww【ヒカキン&セイキン】",2775101,26116,1972,2226
"20","E2SqtOCIEhA","2017-08-16T11:18:01.000Z","【道具は一切無し】ガムテープで両手を縛られても瞬時に脱出する方法があるらしい（おまけあり）",885148,7526,451,1034
"21","N6-GNQU6PiM","2017-08-19T10:00:03.000Z","セイキン VS ポンちゃん　世界に1つだけのアレで夫婦対決！！",675339,7073,497,910
"22","EdKbUpwUNrY","2017-08-14T10:08:13.000Z","セイキン握手会で民族所持率高すぎな件www",718962,8141,475,1093
"23","H642TsfsnGE","2017-08-13T09:11:34.000Z","あれ？もしかして電球の熱でマシュマロ焼けるんじゃね？",663790,5745,564,741
"24","tW2goG3qawc","2017-08-12T09:52:08.000Z","夫婦でお菓子キャッチャー対決したら予想以上に難しかったwww",1056635,6013,635,549
"25","b17Gfylc3sg","2017-08-10T09:48:50.000Z","スイカをアイスキャンディーみたいにできるカッター！！",839844,7209,468,765
"26","Oo4MpO3oKZ8","2017-08-08T09:00:03.000Z","あの会社から非売品のレアグッズが届いた！！",1396030,11000,935,895
"27","mNgpJqCul2M","2017-08-07T11:26:11.000Z","SeikinTVのあの謎について説明します",1565190,23619,2270,4500
"28","pYeDpnFcGLk","2017-08-06T11:54:46.000Z","勝手に全日本水道選手権、開催ですwww",1038228,7081,794,905
"29","AQKO1oQ6M-Y","2017-08-05T09:59:30.000Z","【大量購入】マクドナルド新作ハッピーセット 怪盗グルーのミニオン大脱走 大人買いして全種類コンプリート狙う！！",1115199,6369,785,519
"30","Nq6BWlISIeU","2017-08-02T11:09:29.000Z","【史上最強】15分回転する17,000円のハンドスピナーがスゴすぎた・・・【サターンスピナー SATURN SPINNER】",3302855,19660,4140,2768
"31","h33meu0WrEc","2017-08-01T12:01:20.000Z","結局、本物の民族ってどれなん？最強の民族決めます！！【ハンドスピナー】",1458327,8926,913,1231
"32","j3BXIwsBc4A","2017-07-30T10:22:07.000Z","セイキン、30歳になりました。歴代のオモチャ集めて誕生日パーティー！",1497789,26342,1280,6805
"33","bosB4q9u1WY","2017-07-29T11:01:42.000Z","風船と水で芸術的な氷の器が作れるってマジ！？（ハプニングありw）",888664,8232,577,889
"34","O1Ppr7F-HQc","2017-07-28T08:00:02.000Z","【ヒカキン VS セイキン】砂の宝箱100個を水中に沈めて溶かし黄金のスカルプレートを多く見つけたら勝ち！！【パイレーツオブカリビアン】",1657934,11959,1411,1121
"35","_3v9cZMtino","2017-07-25T10:47:39.000Z","【閲覧注意】こより使ってくしゃみバトルしたら鼻水ブシャーwww【ヒカキン & セイキン】",929935,8940,570,1011
"36","JOaN5sYQCIA","2017-07-24T08:00:01.000Z","民族と水道が合体した新型ハンドスピナー「民族水道」誕生www またしても世界を変えてしまったようだ。。。【ヒカキン & セイキン】",2369581,15926,1799,1935
"37","tY93gaF2a90","2017-07-22T11:14:11.000Z","謎のミニオンのカプセル100個買って激レア黄金のミニオンを当てたい！！【最後にお知らせあり】",1677748,8544,1577,767
"38","JejJpkJ_ruY","2017-07-21T09:00:02.000Z","新作の発掘シリーズの土を大量に水槽に沈めて溶かす！！",1590230,8798,1896,962
"39","HUnbLjStmyA","2017-07-19T09:57:40.000Z","泡(シェービングフォーム)て゛作ったスライムがとんでもなくフワフワすぎた...",902842,8170,684,1052
"40","eVu42gFmOTY","2017-07-18T11:59:41.000Z","おいおい、まさかもうハプニングは起こさないよな。フ゜ルホ゜ッフ゜アイス デラックスバージョン登場！！",985169,7803,703,724
"41","AtNk3rwS7aY","2017-07-16T10:00:05.000Z","マクドナルド 新作ハッピーセット大量購入して全種類揃えます！！【劇場版ポケットモンスター キミにきめた！<U+200F>】",1380960,6725,1686,710
"42","WkZIxtZt5JU","2017-07-15T09:00:03.000Z","スライムに画鋲1000個混ぜたら世界一危険なスライムできた・・・",1927033,NA,NA,2986
"43","fbuxYvyu3F4","2017-07-14T09:00:03.000Z","ハンドスピナーの回転が止まるまでに新型クレーンゲームの限定景品ブラックサンダーナムコーラ味取れるかやったら奇跡が！？",751711,4283,593,346
"44","jMDCtrhafXM","2017-07-12T09:00:05.000Z","【激レア】マックフライポテト製造マシン？ゲットしました！！",1588510,9371,1086,663
"45","77uzkIpi8lc","2017-07-11T10:01:02.000Z","カ゛リウムは他の金属を侵食しボロボロにしてしまうらしい・・・",1437945,9274,2118,1162
"46","KOQefdyuXW0","2017-07-09T08:20:50.000Z","【最新式？】遊びながら音楽が聞けるBluetoothスピーカー付きハンドスピナーすごっ！！",1074166,7256,1090,940
"47","yyqYMUi2k8Y","2017-07-08T08:00:06.000Z","家で本格ラーメンが作れるマシンを入手！！",1915840,13005,1821,1123
"48","gvv6E1y3iBI","2017-07-06T09:00:04.000Z","マジかよ・・・火がつけられるハンドスピナー登場！？タバコに点火！！",2138961,10501,3126,1173
"49","wdtIcVsJhpE","2017-07-05T09:00:06.000Z","【マクドナルド】本当に食べられるお菓子バーガー製造マシンを入手しました！",3041707,15158,1663,1120
"50","DXf0ti69OjQ","2017-07-03T10:00:01.000Z","【ハプニング多めw】好きなジュースやフルーツをアイスにできちゃうアイスキャンディーメーカーが誕生！！【プルポップアイス / Pull Pops】",1574859,13830,875,1194
"51","BlwuYNVYSlo","2017-07-02T10:30:25.000Z","世界一固い!?アイスを削ってかき氷にできるマシンがスゴすぎた・・・",1409945,9650,1110,1018
