"","id","publish","title","viewCount","likeCount","dislikeCount","commentCount"
"1","fIhFbeHARyE","2017-09-14T09:00:03.000Z","HIDEKI NHK Collectionダイジェスト",468,9,7,5
"2","YJZhxhWCJmI","2017-09-12T03:00:00.000Z","access 『VIRGIN EMOTION』(Promotion Edit)",2025,58,7,3
"3","coyzeodHsME","2017-09-12T19:00:01.000Z","満島ひかり 『群青』",17739,444,11,23
"4","ozCSNAn-Krg","2017-09-11T09:00:04.000Z","石井竜也 「DIAMOND MEMORIES」Teaser Movie",5815,119,13,1
"5","Dqt8cUt1aNg","2017-09-12T03:00:00.000Z","access 『Only the love survive』(Promotion Edit)",700,30,0,0
"6","a8QjQCEiz4g","2017-09-12T03:00:00.000Z","access 『瞳ノ翼』(Promotion Edit)",632,14,0,0
"7","LvIWra2tQvw","2017-09-12T03:00:00.000Z","access 『REAL AT NIGHT～眠れぬ夜の向こうに～』(Promotion Edit)",338,16,0,0
"8","-Ctk4QcokF0","2017-09-12T03:00:00.000Z","access 『EDGE』(Promotion Edit)",593,17,0,0
"9","2-WFFnsWnVg","2017-09-12T03:00:00.000Z","access 『Doubt ＆ Trust ～ダウト＆トラスト～翼』(Promotion Edit)",1033,29,0,0
"10","crk99bymSEE","2017-09-12T03:00:00.000Z","access 『DRASTIC MERMAID』(Promotion Edit)",278,13,0,0
"11","EBgoscJrgeM","2017-09-12T03:00:00.000Z","access 『TEAR’S LIBERATION』(Promotion Edit)",315,14,0,0
"12","Q2AVc15NfKI","2017-09-12T03:00:00.000Z","access 『SCANDALOUS BLUE』(Promotion Edit)",339,12,0,0
"13","p5VyRsAgU_o","2017-09-12T03:00:03.000Z","access 『TRY AGAIN』(Promotion Edit)",422,18,1,1
"14","BGFp3fZIwFE","2017-09-12T03:00:00.000Z","access 『夢を見たいから』(Promotion Edit)",700,16,0,0
"15","I5l6lRw2Lsg","2017-09-12T03:00:00.000Z","access 『SWEET SILENCE』(Promotion Edit)",539,17,0,0
"16","Ed2mctbPF-o","2017-09-12T03:00:00.000Z","access 『MISTY HEARTBREAK』(Promotion Edit)",499,18,0,1
"17","Id4FyCtkuGI","2017-09-12T03:00:00.000Z","access 『NAKED DESIRE』(Promotion Edit)",370,11,0,0
