"","id","publish","title","viewCount","likeCount","dislikeCount","commentCount"
"1","TCsl7AcmUd4","2017-09-01T04:58:09.000Z","尾崎裕哉「Glory Days」アニメ版（Official Music Video）",424865,7599,96,275
"2","qvaLAnmoKk8","2017-08-18T08:51:01.000Z","AKLO×JAY’ED Teaser",4387,80,4,7
"3","ycTgQjJS2GI","2017-08-18T10:00:06.000Z","AKLO×JAY’ED「Different Man」Music Video",166122,3701,55,261
"4","0-oJLmTxnQ8","2017-08-20T15:00:01.000Z","TORIENA 「MELANCOZMO」MUSIC VIDEO",19079,698,25,29
"5","dtREtX8kvRg","2017-08-04T09:00:01.000Z","HAN-KUN <U+2013> 希望の空 (Prod. by Steady Music)",105227,1125,42,60
"6","0QJFtZq_VKE","2017-07-27T09:00:00.000Z","HAN-KUN - MELODY OF LOVE (Live at Billboard LIVE TOKYO)",32125,525,31,27
"7","zfF4h8K67pk","2017-07-22T10:30:30.000Z","小松未可子「Maybe the next waltz」YouTube ver.＋カップリング曲ダイジェスト",318907,3748,100,229
"8","a66kpODps-c","2017-07-13T09:00:00.000Z","HAN-KUN <U+2013> 無問題 (Official Music Video)",99174,1132,50,128
"9","1aTcbzPsvaQ","2017-07-09T17:00:00.000Z","小松未可子「Maybe the next waltz」ティザースポット",21558,240,12,15
"10","rYLI5bOGqrM","2017-07-21T15:00:07.000Z","Pa's Lam System - I’m Coming (2017 Version)",12142,341,5,23
"11","11TEm23Fmhk","2017-06-16T11:00:03.000Z","SALU / LIFE STYLE feat. 漢 a.k.a. GAMI, D.O (Prod. by Chaki Zulu)【Official Music Video】",2391083,18448,877,1441
"12","2UuYYVnsAKQ","2017-05-31T08:41:15.000Z","HYUKOH 1st Full  Album『23』日本ライセンス盤6/7発売トレーラー",256378,71,10,10
"13","kuwP2ELlm4k","2017-05-23T15:00:03.000Z","SALU / 夜に失くす feat. ゆるふわギャング (Ryugo Ishida, Sophiee)【Official Music Video】",731885,6260,216,362
"14","e49hrvnMEZ0","2017-05-02T03:00:03.000Z","SALU / WALK THIS WAY (Official Music Video)",922364,7803,251,436
"15","FhNfC2bPPRY","2017-03-31T12:00:02.000Z","小松未可子「HEARTRAIL」from New Album「Blooming Maps」",156531,895,129,42
"16","7NlOpi6BVjU","2017-04-04T09:00:03.000Z","SALU / YEDI (Official Music Video)",293588,3604,142,360
"17","Gwo09-JHx6U","2017-03-31T09:00:00.000Z","尾崎裕哉 / 27 [LET FREEDOM RING TOUR 2017 at EX THEATER ROPPONGI]",85029,695,29,60
"18","taYlvd5ULTs","2017-03-17T08:46:28.000Z","尾崎裕哉「LET FREEDOM RING」Official Audio",10441,175,4,7
"19","lhmBeu6euCQ","2017-03-06T19:00:02.000Z","尾崎裕哉「サムデイ・スマイル」Official Music Video",542547,3783,174,258
"20","Ysbrlo3GHaE","2017-02-24T08:59:41.000Z","FIVE NEW OLD - footage from WIDE AWAKE TOUR FINAL at SHIBUYA CLUB QUATTRO",7558,84,5,2
"21","qKbE4PozHJo","2017-02-23T12:00:04.000Z","小松未可子「Catch me if you JAZZ」試聴用MV",54647,661,14,40
"22","T9nqwircaGI","2017-02-02T09:35:04.000Z","DOBERMAN INFINITY 3周年特別記念公演『ⅲ -three-』teaser",7977,125,2,5
"23","tz0AjinxJ6Q","2017-01-09T03:00:03.000Z","小松未可子「純真エチュード」試聴用MV",58440,578,21,41
"24","gy-P8eTxSJk","2016-11-01T03:00:30.000Z","DOBERMAN INFINITY「TERMINAL」60sec SPOT",24925,259,8,12
"25","X18veVx-U3c","2016-10-19T08:25:59.000Z","DOBERMAN INFINITY 2nd AL「TERMINAL」LIVE DVD SPOT",92405,680,9,34
"26","_AGpw2nEMGA","2016-10-10T20:00:03.000Z","DOBERMAN INFINITY「Finally I...」MV ( from 「TERMINAL」)",732488,4818,96,296
"27","vVrUXLxultU","2016-10-05T23:00:14.000Z","SKY-HI × SALU / Sleep Walking メイキング映像",217417,1635,28,123
"28","X4uSTeqg5cw","2016-10-05T23:00:42.000Z","SKY-HI × SALU / Sleep Walking (Official Music Video)",435300,4092,61,253
"29","6va722JjsMw","2016-09-01T10:14:46.000Z","SALU / How Beautiful",89670,888,36,76
"30","_pILY2wa-wI","2016-08-30T03:00:00.000Z","小松未可子「Imagine day, Imagine life!」トレイラー",88251,751,23,47
"31","2FRu70vOEtA","2016-08-23T15:00:01.000Z","HAN-KUN - #IROIRO (Official Music Video)",257484,1459,40,131
"32","UnOhQVnK_ys","2016-08-17T15:00:01.000Z","Pa's Lam System - TWISTSTEP",119247,1539,27,78
"33","RpSN4iMFMaM","2016-07-21T03:00:30.000Z","AKLO / Outside the Frame",205936,2070,39,210
"34","658QfW77V_w","2016-06-27T06:00:01.000Z","HAN-KUN - Island Vibes (Official Lyric Video)",248845,1313,26,66
"35","dss3PGHiQqM","2016-06-29T20:00:01.000Z","DOBERMAN INFINITY「GA GA SUMMER」MV",1750606,7629,192,275
